ID,registration_started,registration_finished,campus,program,"Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most4","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most5","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most6","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most7","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most8","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most9","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most10","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most11","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most12","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most13",Tværfagligt problemdesign,Systemtænkning i ingeniørvidenskab,Etisk teknologivurdering,Psykologisk tryghed i teams,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,Digitale praksisser i projektarbejdet,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,"Motivation, trivsel og work-life balance",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Ethical technology assessment,Psychological safety in team work,Professional communication with external partners,Leadership and project management,Digital and hybrid practices in collaborative work,Professional identity development,Interdisciplinary problem design,Systems thinking in engineering,Collaboration across discplines,Facilitation of productive meeting,SCRUM-techniques in project work?,Generative AI in study practices?,"Motivation, well-being and work-life balance?",Creativity and entrepeneurship,Psychological safety in teamwork,Digital practices in project work,SUMA,Tværfagligt problemdesign.1,Systemtænkning i ingeniørvidenskab.1,Etisk teknologivurdering.1,Psykologisk tryghed i teams.1,Samarbejde på tværs af fagligheder.1,Facilitering af produktive møder.1,Digitale praksisser i projektarbejdet.1,SCRUM-teknikker i projektarbejdet.1,Generativ AI i studiepraksis.1,"Motivation, trivsel og work-life balance.1",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day).1,Clarification of individual professional competences.1,Ethical technology assessment?,Psychological safety in team work.1,Professional communication with external partners.1,Leadership and project management.1,Digital and hybrid practices in collaborative work.1,Professional identity development.1,Interdisciplinary problem design.1,Systems thinking in engineering.1,Collaboration across discplines.1,Facilitation of productive meeting.1,SCRUM-techniques in project work?.1,Generative AI in study practices?.1,"Motivation, well-being and work-life balance?.1",Creativity and entrepeneurship.1,Psychological safety in teamwork.1,Digital practices in project work.1
464,2025-02-13 21:53:55.568622124,2025-02-13 21:57:06.006761744,AAL,bachelor,Ethical technology assessment,Generative AI in study practices?,Psykologisk tryghed i teams,Ethical technology assessment?,Systems thinking in engineering,Collaboration across discplines,Digitale praksisser i projektarbejdet,SCRUM-techniques in project work?,SCRUM-teknikker i projektarbejdet,SCRUM-techniques in project work?,,,,3,,,,,,,,,1,,,,,,,,,,,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,2025-02-10 08:50:20.101151948,2025-02-11 12:36:13.909621151,AAL,master,Professional communication with external partners,Creativity and entrepeneurship,Ethical technology assessment,Leadership and project management,Digital and hybrid practices in collaborative work,Professional identity development,Clarification of individual professional competences,Psychological safety in team work,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,2025-02-12 22:21:04.076552724,2025-02-14 00:09:36.344045888,AAL,master,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Psychological safety in team work,Leadership and project management,Professional identity development,Ethical technology assessment,,,,,,,,,,,,,,2,,,3,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,2025-02-11 17:05:03.755594551,2025-02-11 17:11:31.567466201,AAL,bachelor,Facilitering af produktive møder,Digitale praksisser i projektarbejdet,Systemtænkning i ingeniørvidenskab,"Motivation, well-being and work-life balance?","Motivation, trivsel og work-life balance",Ethical technology assessment?,Tværfagligt problemdesign,Digital practices in project work,"Motivation, trivsel og work-life balance",Psychological safety in teamwork,,3,,,,1,2,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,2025-02-10 13:40:11.494136403,2025-02-10 13:44:50.795344193,CPH,master,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Psychological safety in team work,Professional identity development,Professional communication with external partners,Leadership and project management,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,1,,3,,,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,2025-02-11 17:48:10.829052613,2025-02-11 17:55:29.478262447,CPH,bachelor,Ethical technology assessment,Tværfagligt problemdesign,Digital practices in project work,Digitale praksisser i projektarbejdet,Systems thinking in engineering,SCRUM-teknikker i projektarbejdet,Psykologisk tryghed i teams,Generative AI in study practices?,Facilitering af produktive møder,Ethical technology assessment?,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,2025-02-11 18:02:14.586039541,2025-02-11 18:04:40.930162977,CPH,master,Professional communication with external partners,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Professional identity development,,,,,,,,,,,,,,2,,,1,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,2025-02-11 10:22:26.014494537,2025-02-11 10:24:22.759769580,CPH,master,Leadership and project management,Professional communication with external partners,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Psychological safety in team work,Professional identity development,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,,,,,,,,,,,,,,,3,,2,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,2025-02-10 09:44:39.537877677,2025-02-10 09:46:22.533919767,CPH,master,Psychological safety in team work,Professional identity development,Professional communication with external partners,Leadership and project management,Digital and hybrid practices in collaborative work,Ethical technology assessment,Clarification of individual professional competences,Creativity and entrepeneurship,,,,,,,,,,,,,,,,1,3,,,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,2025-02-11 13:55:30.887677553,2025-02-11 13:59:25.214071400,CPH,master,Clarification of individual professional competences,Professional identity development,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,Psychological safety in team work,Ethical technology assessment,,,,,,,,,,,,,,1,,,,3,,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,2025-02-05 12:35:42.803484481,2025-02-05 12:35:58.708518547,AAL,master,Professional communication with external partners,Leadership and project management,Digital and hybrid practices in collaborative work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Psychological safety in team work,Professional identity development,Clarification of individual professional competences,Creativity and entrepeneurship,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,2025-02-08 13:35:16.644631492,2025-02-08 13:36:48.233818545,AAL,master,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,Clarification of individual professional competences,Leadership and project management,Digital and hybrid practices in collaborative work,Psychological safety in team work,Ethical technology assessment,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,2025-02-12 15:52:33.726104744,2025-02-12 15:59:48.002163544,CPH,bachelor,"Motivation, well-being and work-life balance?",Collaboration across discplines,"Motivation, trivsel og work-life balance",Digital practices in project work,Psykologisk tryghed i teams,Etisk teknologivurdering,SCRUM-teknikker i projektarbejdet,Systemtænkning i ingeniørvidenskab,Generativ AI i studiepraksis,Etisk teknologivurdering,,,,,,,,,,3,,,,,,,,,,,2,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,2025-02-05 12:51:18.789790706,2025-02-05 13:07:10.938621203,AAL,bachelor,Samarbejde på tværs af fagligheder,Generativ AI i studiepraksis,"Motivation, trivsel og work-life balance",SCRUM-techniques in project work?,Facilitation of productive meeting,Psykologisk tryghed i teams,Generative AI in study practices?,SCRUM-teknikker i projektarbejdet,Tværfagligt problemdesign,SCRUM-techniques in project work?,,,,,1,,,,2,3,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,2025-02-11 10:48:49.946024742,2025-02-11 10:50:41.034426857,CPH,bachelor,Facilitation of productive meeting,Samarbejde på tværs af fagligheder,SCRUM-techniques in project work?,Generativ AI i studiepraksis,SCRUM-teknikker i projektarbejdet,Etisk teknologivurdering,Systemtænkning i ingeniørvidenskab,Tværfagligt problemdesign,SCRUM-techniques in project work?,Digitale praksisser i projektarbejdet,,,,,2,,,,,,,,,,,,,,,,,1,3,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,2025-02-12 08:13:19.102236275,2025-02-12 08:13:53.192129638,CPH,bachelor,Digitale praksisser i projektarbejdet,Samarbejde på tværs af fagligheder,Generativ AI i studiepraksis,Systems thinking in engineering,"Motivation, well-being and work-life balance?",Facilitation of productive meeting,SCRUM-teknikker i projektarbejdet,"Motivation, trivsel og work-life balance","Motivation, trivsel og work-life balance",Psychological safety in teamwork,,,,,2,,1,,3,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,2025-02-05 13:46:16.400142029,2025-02-05 14:11:31.964696952,AAL,bachelor,Systems thinking in engineering,Generativ AI i studiepraksis,Systemtænkning i ingeniørvidenskab,Collaboration across discplines,"Motivation, well-being and work-life balance?",Psykologisk tryghed i teams,Facilitation of productive meeting,Digital practices in project work,Ethical technology assessment?,"Motivation, well-being and work-life balance?",,3,,,,,,,2,,,,,,,,,,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,2025-02-12 10:13:54.356508870,2025-02-12 10:47:22.318752249,AAL,bachelor,"Motivation, trivsel og work-life balance",Psykologisk tryghed i teams,Generativ AI i studiepraksis,Digital practices in project work,SCRUM-techniques in project work?,Digitale praksisser i projektarbejdet,Systemtænkning i ingeniørvidenskab,Facilitering af produktive møder,Tværfagligt problemdesign,SCRUM-teknikker i projektarbejdet,,,,2,,,,,3,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,2025-02-10 08:45:18.774862454,2025-02-10 08:51:01.531283939,AAL,master,Leadership and project management,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Psychological safety in team work,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Professional communication with external partners,Creativity and entrepeneurship,,,,,,,,,,,,,3,,,,,1,,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,2025-02-11 10:31:07.749553246,2025-02-11 10:45:55.910466515,CPH,master,Professional communication with external partners,Digital and hybrid practices in collaborative work,Professional identity development,Clarification of individual professional competences,Ethical technology assessment,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,,,,,,,,,,,,,,,,,1,,2,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,2025-02-11 16:21:41.540005442,2025-02-11 16:23:36.993309058,AAL,bachelor,Samarbejde på tværs af fagligheder,Psykologisk tryghed i teams,SCRUM-teknikker i projektarbejdet,Collaboration across discplines,SCRUM-techniques in project work?,Psychological safety in teamwork,"Motivation, trivsel og work-life balance",Generative AI in study practices?,SCRUM-teknikker i projektarbejdet,SCRUM-techniques in project work?,,,,2,1,,,3,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,2025-02-11 14:19:34.199279292,2025-02-11 14:24:09.922849797,AAL,master,Leadership and project management,Clarification of individual professional competences,Professional communication with external partners,Professional identity development,Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,Ethical technology assessment,Psychological safety in team work,,,,,,,,,,,,,,2,,,3,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,2025-02-11 13:27:08.084285051,2025-02-11 13:28:24.948020687,AAL,master,Digital and hybrid practices in collaborative work,Ethical technology assessment,Leadership and project management,Professional communication with external partners,Clarification of individual professional competences,Creativity and entrepeneurship,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,,2,,,3,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,2025-02-11 10:06:18.133856647,2025-02-11 10:07:41.102494964,AAL,master,Leadership and project management,Psychological safety in team work,Clarification of individual professional competences,Professional identity development,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Ethical technology assessment,,,,,,,,,,,,,,3,,2,,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,2025-02-11 15:49:31.879279356,2025-02-11 17:25:03.727044255,CPH,master,Psychological safety in team work,Digital and hybrid practices in collaborative work,Leadership and project management,Creativity and entrepeneurship,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Professional identity development,,,,,,,,,,,,,,,,1,,3,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,2025-02-11 10:45:00.999044157,2025-02-11 10:59:37.513495063,CPH,bachelor,Ethical technology assessment,Interdisciplinary problem design,Systemtænkning i ingeniørvidenskab,Digital practices in project work,Etisk teknologivurdering,Samarbejde på tværs af fagligheder,Generative AI in study practices?,SCRUM-techniques in project work?,Digitale praksisser i projektarbejdet,Psychological safety in teamwork,,3,,,,,,,,,,,1,,,,,,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,2025-02-10 11:34:20.964743815,2025-02-10 11:38:44.238794945,AAL,bachelor,Systems thinking in engineering,Facilitation of productive meeting,SCRUM-techniques in project work?,Collaboration across discplines,"Motivation, well-being and work-life balance?",SCRUM-teknikker i projektarbejdet,"Motivation, trivsel og work-life balance",Generativ AI i studiepraksis,Facilitering af produktive møder,Psykologisk tryghed i teams,,,,,,,,,,,,,,,,,,,,1,,2,3,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,2025-02-11 13:42:31.009551440,2025-02-11 13:46:11.438368338,AAL,bachelor,Psykologisk tryghed i teams,Facilitering af produktive møder,Systemtænkning i ingeniørvidenskab,"Motivation, well-being and work-life balance?",Ethical technology assessment?,"Motivation, trivsel og work-life balance",Tværfagligt problemdesign,Digitale praksisser i projektarbejdet,Tværfagligt problemdesign,Etisk teknologivurdering,,3,,1,,2,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,2025-02-12 15:22:32.585785738,2025-02-12 15:27:33.630329201,AAL,bachelor,"Motivation, trivsel og work-life balance",Generative AI in study practices?,Digitale praksisser i projektarbejdet,Psykologisk tryghed i teams,Facilitation of productive meeting,Systemtænkning i ingeniørvidenskab,SCRUM-teknikker i projektarbejdet,Facilitering af produktive møder,Ethical technology assessment?,Psykologisk tryghed i teams,,,,,,,3,,,1,,,,,,,,,,,,,,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,2025-02-11 09:25:30.400898518,2025-02-11 09:27:19.753999200,AAL,bachelor,SCRUM-teknikker i projektarbejdet,Digitale praksisser i projektarbejdet,Generativ AI i studiepraksis,Samarbejde på tværs af fagligheder,Psykologisk tryghed i teams,Collaboration across discplines,Digital practices in project work,Etisk teknologivurdering,"Motivation, trivsel og work-life balance",Ethical technology assessment?,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,2025-02-06 14:57:22.875309744,2025-02-06 15:37:56.181391949,AAL,master,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Leadership and project management,Psychological safety in team work,Professional identity development,Professional communication with external partners,Creativity and entrepeneurship,,,,,,,,,,,,,2,1,,,,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,2025-02-10 17:10:17.757068587,2025-02-10 17:15:31.517426816,AAL,bachelor,Facilitering af produktive møder,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,SCRUM-techniques in project work?,Ethical technology assessment?,"Motivation, trivsel og work-life balance",Facilitation of productive meeting,Digital practices in project work,Digital practices in project work,Facilitering af produktive møder,,,,,,1,,2,3,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,2025-02-11 10:11:02.150352828,2025-02-11 10:15:53.615031778,AAL,bachelor,Systems thinking in engineering,Psychological safety in teamwork,Systemtænkning i ingeniørvidenskab,Facilitering af produktive møder,"Motivation, trivsel og work-life balance",Digital practices in project work,Etisk teknologivurdering,SCRUM-techniques in project work?,Etisk teknologivurdering,Systemtænkning i ingeniørvidenskab,,3,,,,,,,,,,,,,,,,,,1,,,,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,2025-02-12 11:08:57.996261246,2025-02-12 11:12:58.096383508,AAL,bachelor,Generativ AI i studiepraksis,Psykologisk tryghed i teams,Tværfagligt problemdesign,Digitale praksisser i projektarbejdet,Samarbejde på tværs af fagligheder,SCRUM-techniques in project work?,Psychological safety in teamwork,"Motivation, trivsel og work-life balance",Psychological safety in teamwork,Generativ AI i studiepraksis,3,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
